Numero;Familia;Genero;Especie;Densidade da madeira;Regiao;N_referencia
1;Fabaceae;Abarema;Abarema jupunba;0,78;South America (tropical);114
2;Fabaceae;Abarema;Abarema jupunba;0,66;South America (tropical);198
3;Fabaceae;Abarema;Abarema jupunba;0,55104;South America (tropical);52
4;Fabaceae;Abarema;Abarema jupunba;0,53382;South America (tropical);65
5;Fabaceae;Abarema;Abarema jupunba;0,55104;South America (tropical);189
6;Fabaceae;Abarema;Abarema jupunba;0,5;South America (tropical);204
7;Fabaceae;Abarema;Abarema jupunba;0,52;South America (tropical);45
8;Fabaceae;Abarema;Abarema macradenia;0,438331582;Central America (tropical);167
9;Pinaceae;Abies;Abies alba;0,35301;Europe;28
10;Pinaceae;Abies;Abies amabilis;0,4;NorthAmerica;7
11;Pinaceae;Abies;Abies arizonica;0,289296;NorthAmerica;118
12;Pinaceae;Abies;Abies balsamea;0,33;NorthAmerica;7
13;Pinaceae;Abies;Abies concolor;0,37;NorthAmerica;7
14;Pinaceae;Abies;Abies delavayi;0,4;China;32
15;Pinaceae;Abies;Abies ernestii;0,36;China;32
16;Pinaceae;Abies;Abies fabri;0,372813;China;33
17;Pinaceae;Abies;Abies fargesii;0,34;China;32
18;Pinaceae;Abies;Abies faxoniana;0,384867;China;33
19;Pinaceae;Abies;Abies forrestii;0,35;China;32
20;Pinaceae;Abies;Abies georgei;0,440832;China;33
21;Pinaceae;Abies;Abies georgei;0,425;China;33
22;Pinaceae;Abies;Abies grandis;0,35;NorthAmerica;7
23;Pinaceae;Abies;Abies guatemalensis;0,43;Central America (tropical);116
24;Pinaceae;Abies;Abies holophylla;0,33579;China;33
25;Pinaceae;Abies;Abies lasiocarpa;0,31;NorthAmerica;7
26;Pinaceae;Abies;Abies magnifica;0,36;NorthAmerica;7
27;Pinaceae;Abies;Abies nephrolepis;0,330624;China;33
28;Pinaceae;Abies;Abies nephrolepis;0,316;China;33
29;Pinaceae;Abies;Abies pindrow;0,38;India;109
30;Pinaceae;Abies;Abies pinsapo;0,41;Europe;76
31;Pinaceae;Abies;Abies procera;0,37;NorthAmerica;7
32;Pinaceae;Abies;Abies religiosa;0,38;Mexico;51
33;Menispermaceae;Abuta;Abuta rufescens;0,45;South America (tropical);45
34;Fabaceae;Acacia;Acacia acradenia;0,90405;Australia;90
35;Fabaceae;Acacia;Acacia acuminata;0,894617667;Australia;90
36;Fabaceae;Acacia;Acacia acuminata;1,008231;Australia;90
37;Fabaceae;Acacia;Acacia adsurgens;0,88683;Australia;90
38;Fabaceae;Acacia;Acacia albicorticata;0,49;South America (tropical);44
39;Fabaceae;Acacia;Acacia alleniana;0,55965;Australia/PNG (tropical);90
40;Fabaceae;Acacia;Acacia ampliceps;0,56826;Australia;90
41;Fabaceae;Acacia;Acacia amythethophylla;1,00737;Africa (extratropical);72
42;Fabaceae;Acacia;Acacia aneura;1,0332;Australia/PNG (tropical);90
43;Fabaceae;Acacia;Acacia aneura;1,0353915;Australia;90
44;Fabaceae;Acacia;Acacia aneura;1,019156;Australia;90
45;Fabaceae;Acacia;Acacia aneura;0,9294805;Australia/PNG (tropical);90
46;Fabaceae;Acacia;Acacia aneura;0,861;Australia;90
47;Fabaceae;Acacia;Acacia aneura;0,996177;Australia;90
48;Fabaceae;Acacia;Acacia aneura;1,044393;Australia;90
49;Fabaceae;Acacia;Acacia aneura;0,92;Australia;58
50;Fabaceae;Acacia;Acacia aneura;0,98154;Australia;137
51;Fabaceae;Acacia;Acacia angustissima;0,85;Mexico;23
52;Fabaceae;Acacia;Acacia arabica;0,86;India;26
53;Fabaceae;Acacia;Acacia aroma;0,8084;South America (extratropical);66
54;Fabaceae;Acacia;Acacia atkinsiana;0,89;Australia;90
55;Fabaceae;Acacia;Acacia aulacocarpa;0,581175;Australia/PNG (tropical);90
56;Fabaceae;Acacia;Acacia aulacocarpa;0,612317333;Australia/PNG (tropical);90
57;Fabaceae;Acacia;Acacia aulacocarpa;0,5937456;Australia/PNG (tropical);90
58;Fabaceae;Acacia;Acacia aulacocarpa;0,6888;Australia/PNG (tropical);90
59;Fabaceae;Acacia;Acacia aulacocarpa;0,86;Australia;90
60;Fabaceae;Acacia;Acacia aulacocarpa;0,59409;Australia/PNG (tropical);27
61;Fabaceae;Acacia;Acacia auriculiformis;0,68;Australia;58
62;Fabaceae;Acacia;Acacia bakeri;0,770595;Australia/PNG (tropical);90
63;Fabaceae;Acacia;Acacia bidwillii;0,67;Australia/PNG (tropical);90
64;Fabaceae;Acacia;Acacia bivenosa;0,65;Australia;90
65;Fabaceae;Acacia;Acacia bivenosa;0,62;Australia;90
66;Fabaceae;Acacia;Acacia brachystachya;1,01;Australia;90
67;Fabaceae;Acacia;Acacia brachystachya;0,97;Australia;90
68;Fabaceae;Acacia;Acacia cambagei;1,04776;Australia/PNG (tropical);90
69;Fabaceae;Acacia;Acacia cambagei;1,09942;Australia/PNG (tropical);90
70;Fabaceae;Acacia;Acacia cambagei;1,0603315;Australia/PNG (tropical);90
71;Fabaceae;Acacia;Acacia cambagei;1,158045;Australia/PNG (tropical);90
72;Fabaceae;Acacia;Acacia cambagei;1,05;Australia/PNG (tropical);90
73;Fabaceae;Acacia;Acacia catechu;0,80073;South-East Asia (tropical);14
74;Fabaceae;Acacia;Acacia caven;0,7654;South America (extratropical);66
75;Fabaceae;Acacia;Acacia caven;0,8;South America (tropical);110
76;Fabaceae;Acacia;Acacia chisholmii;0,76;Australia/PNG (tropical);90
77;Fabaceae;Acacia;Acacia chisholmii;0,82656;Australia/PNG (tropical);90
78;Fabaceae;Acacia;Acacia chundra;0,98;India;109
79;Fabaceae;Acacia;Acacia citrinoviridis;0,88;Australia;90
80;Fabaceae;Acacia;Acacia citrinoviridis;0,81;Australia;90
81;Fabaceae;Acacia;Acacia cochliacantha;0,94;Mexico;23
82;Fabaceae;Acacia;Acacia colei;0,61;Australia;90
83;Fabaceae;Acacia;Acacia colei;0,76629;Australia;90
84;Fabaceae;Acacia;Acacia collinsii;0,8;Central America (tropical);116
85;Fabaceae;Acacia;Acacia concurrens;0,75768;Australia/PNG (tropical);90
86;Fabaceae;Acacia;Acacia confusa;0,712908;China;33
87;Fabaceae;Acacia;Acacia confusa;0,753375;China;33
88;Fabaceae;Acacia;Acacia confusa;0,672;China;33
89;Fabaceae;Acacia;Acacia confusa;0,791;China;33
90;Fabaceae;Acacia;Acacia coriacea;0,96;Australia;90
91;Fabaceae;Acacia;Acacia coriacea;0,9161195;Australia/PNG (tropical);90
92;Fabaceae;Acacia;Acacia craspedocarpa;0,88683;Australia;90
93;Fabaceae;Acacia;Acacia crassicarpa;0,576672667;Australia;90
94;Fabaceae;Acacia;Acacia crassicarpa;0,6176;Australia;90
95;Fabaceae;Acacia;Acacia crassicarpa;0,581175;Australia/PNG (tropical);90
96;Fabaceae;Acacia;Acacia crassicarpa;0,61;Australia/PNG (tropical);90
97;Fabaceae;Acacia;Acacia dealbata;0,5676;South America (extratropical);46
98;Fabaceae;Acacia;Acacia dealbata;0,599864333;Australia;90
99;Fabaceae;Acacia;Acacia dealbata;0,5720296;Australia;90
100;Fabaceae;Acacia;Acacia dealbata;0,607005;Australia/PNG (tropical);90
101;Fabaceae;Acacia;Acacia decurrens;0,55104;Australia/PNG (tropical);90
102;Fabaceae;Acacia;Acacia decurrens;0,55104;Australia/PNG (tropical);90
103;Fabaceae;Acacia;Acacia decurrens;0,582036;China;33
104;Fabaceae;Acacia;Acacia decurrens;0,539;China;33
105;Fabaceae;Acacia;Acacia dictyophleba;0,761985;Australia;90
106;Fabaceae;Acacia;Acacia difficilis;0,77;Australia;90
107;Fabaceae;Acacia;Acacia difficilis;0,78351;Australia;90
108;Fabaceae;Acacia;Acacia doratoxylon;0,787815;Australia/PNG (tropical);90
109;Fabaceae;Acacia;Acacia elata;0,51;South-East Asia (tropical);129
110;Fabaceae;Acacia;Acacia erioloba;1,05903;Africa (extratropical);72
111;Fabaceae;Acacia;Acacia eriopoda;0,9;Australia;90
112;Fabaceae;Acacia;Acacia excelsa;0,93849;Australia/PNG (tropical);90
113;Fabaceae;Acacia;Acacia excelsa;0,937021;Australia/PNG (tropical);90
114;Fabaceae;Acacia;Acacia fasciculifera;0,96432;Australia/PNG (tropical);90
115;Fabaceae;Acacia;Acacia ferruginea;0,88;India;109
116;Fabaceae;Acacia;Acacia furcatispina;0,8686;South America (extratropical);66
117;Fabaceae;Acacia;Acacia galpinii;0,658665;Africa (extratropical);72
118;Fabaceae;Acacia;Acacia georginae;0,7749;Australia/PNG (tropical);90
119;Fabaceae;Acacia;Acacia gerrardii;0,7749;Africa (extratropical);72
120;Fabaceae;Acacia;Acacia glaucocarpa;0,78;Australia/PNG (tropical);90
121;Fabaceae;Acacia;Acacia goetzei;0,882525;Africa (extratropical);72
122;Fabaceae;Acacia;Acacia grasbyi;1,053515;Australia;90
123;Fabaceae;Acacia;Acacia grasbyi;0,86;Australia;90
124;Fabaceae;Acacia;Acacia grasbyi;1,032339;Australia;90
125;Fabaceae;Acacia;Acacia harpophylla;0,907624;Australia;90
126;Fabaceae;Acacia;Acacia harpophylla;0,883580333;Australia;90
127;Fabaceae;Acacia;Acacia harpophylla;0,882525;Australia/PNG (tropical);90
128;Fabaceae;Acacia;Acacia harpophylla;0,91;Australia/PNG (tropical);90
129;Fabaceae;Acacia;Acacia hemignosta;0,64575;Australia;90
130;Fabaceae;Acacia;Acacia hemsleyi;0,6;Australia;90
131;Fabaceae;Acacia;Acacia hindsii;0,78;Mexico;23
132;Fabaceae;Acacia;Acacia holosericea;0,74907;Africa (tropical);4
133;Fabaceae;Acacia;Acacia implexa;0,588958333;Australia/PNG (tropical);90
134;Fabaceae;Acacia;Acacia implexa;0,6888;Australia/PNG (tropical);90
135;Fabaceae;Acacia;Acacia irrorata;0,55104;Australia/PNG (tropical);90
136;Fabaceae;Acacia;Acacia jennerae;0,742182;Australia;90
137;Fabaceae;Acacia;Acacia karroo;0,6888;Africa (extratropical);72
138;Fabaceae;Acacia;Acacia laccata;0,72324;Australia;90
139;Fabaceae;Acacia;Acacia lasiocalyx;0,684495;Australia;90
140;Fabaceae;Acacia;Acacia leucophloea;0,45;Australia;60
141;Fabaceae;Acacia;Acacia longifolia;0,51;Australia;129
142;Fabaceae;Acacia;Acacia maconochieana;0,8;Australia;90
143;Fabaceae;Acacia;Acacia maconochieana;0,80073;Australia;90
144;Fabaceae;Acacia;Acacia macracantha;0,73;South America (tropical);44
145;Fabaceae;Acacia;Acacia maidenii;0,62;Australia/PNG (tropical);90
146;Fabaceae;Acacia;Acacia mangium;0,44772;Australia/PNG (tropical);40
147;Fabaceae;Acacia;Acacia mangium;0,47355;Australia/PNG (tropical);203
148;Fabaceae;Acacia;Acacia mangium;0,5187525;Australia/PNG (tropical);203
149;Fabaceae;Acacia;Acacia mangium;0,47355;Australia/PNG (tropical);203
150;Fabaceae;Acacia;Acacia mangium;0,59409;Australia/PNG (tropical);90
151;Fabaceae;Acacia;Acacia mangium;0,49;Australia/PNG (tropical);129
152;Fabaceae;Acacia;Acacia mangium;0,55;Australia/PNG (tropical);60
153;Fabaceae;Acacia;Acacia mayana;0,73;Mexico;23
154;Fabaceae;Acacia;Acacia mearnsii;0,6708;Australia/PNG (tropical);46
155;Fabaceae;Acacia;Acacia mearnsii;0,65;Australia/PNG (tropical);60
156;Fabaceae;Acacia;Acacia mearnsii;0,658304297;Australia/PNG (tropical);63
157;Fabaceae;Acacia;Acacia melanoxylon;0,5676;South America (extratropical);46
158;Fabaceae;Acacia;Acacia melanoxylon;0,57;Australia;38
159;Fabaceae;Acacia;Acacia melanoxylon;0,3887415;Oceania;203
160;Fabaceae;Acacia;Acacia melanoxylon;0,415863;Oceania;203
161;Fabaceae;Acacia;Acacia melanoxylon;0,63714;Australia;203
162;Fabaceae;Acacia;Acacia melanoxylon;0,555387;Australia;90
163;Fabaceae;Acacia;Acacia melanoxylon;0,55872;Australia;90
164;Fabaceae;Acacia;Acacia melanoxylon;0,55104;Australia/PNG (tropical);90
165;Fabaceae;Acacia;Acacia mellifera;0,9471;Africa (extratropical);72
166;Fabaceae;Acacia;Acacia modesta;0,83517;India;135
167;Fabaceae;Acacia;Acacia murrayana;0,519183;Australia;90
168;Fabaceae;Acacia;Acacia nilotica;0,65436;Australia;63
169;Fabaceae;Acacia;Acacia nilotica;0,6888;Australia;202
170;Fabaceae;Acacia;Acacia nilotica;0,82656;Australia;72
171;Fabaceae;Acacia;Acacia omalophylla;1,063335;Australia/PNG (tropical);90
172;Fabaceae;Acacia;Acacia omalophylla;1,063335;Australia/PNG (tropical);90
173;Fabaceae;Acacia;Acacia oraria;0,92;Australia/PNG (tropical);129
174;Fabaceae;Acacia;Acacia oshanesii;0,770595;Australia/PNG (tropical);90
175;Fabaceae;Acacia;Acacia oshanesii;0,770595;Australia/PNG (tropical);90
176;Fabaceae;Acacia;Acacia oswaldii;0,975513;Australia;90
177;Fabaceae;Acacia;Acacia pachycarpa;0,86961;Australia;90
178;Fabaceae;Acacia;Acacia pallidifolia;0,68019;Australia;90
179;Fabaceae;Acacia;Acacia papyrocarpa;1,0725285;Australia;90
180;Fabaceae;Acacia;Acacia papyrocarpa;0,88683;Australia;90
181;Fabaceae;Acacia;Acacia papyrocarpa;0,966042;Australia;90
182;Fabaceae;Acacia;Acacia pellita;0,67;Australia;90
183;Fabaceae;Acacia;Acacia pendula;0,994455;Australia/PNG (tropical);90
184;Fabaceae;Acacia;Acacia penninervis;0,605392;Australia;90
185;Fabaceae;Acacia;Acacia penninervis;0,6682672;Australia;90
186;Fabaceae;Acacia;Acacia peuce;1,226925;Australia/PNG (tropical);90
187;Fabaceae;Acacia;Acacia podalyriifolia;0,68;Australia;129
188;Fabaceae;Acacia;Acacia polyacantha;0,6711495;Australia;137
189;Fabaceae;Acacia;Acacia polyacantha;0,607005;Australia;72
190;Fabaceae;Acacia;Acacia polyphylla;0,79;South America (tropical);114
191;Fabaceae;Acacia;Acacia polyphylla;0,63714;South America (tropical);57
192;Fabaceae;Acacia;Acacia polyphylla;0,6;South America (tropical);77
193;Fabaceae;Acacia;Acacia polyphylla;0,49;South America (tropical);44
194;Fabaceae;Acacia;Acacia praecox;0,7654;South America (extratropical);66
195;Fabaceae;Acacia;Acacia pruinocarpa;0,980575;Australia;90
196;Fabaceae;Acacia;Acacia pruinocarpa;0,897162;Australia;90
197;Fabaceae;Acacia;Acacia pubescens;0,6;Australia;38
198;Fabaceae;Acacia;Acacia pubescens;0,586976333;Australia;90
199;Fabaceae;Acacia;Acacia pubescens;0,6638008;Australia;90
200;Fabaceae;Acacia;Acacia quadrimarginea;0,922131;Australia;90
201;Fabaceae;Acacia;Acacia ramulosa;1,006509;Australia;90
202;Fabaceae;Acacia;Acacia resinimarginea;0,996177;Australia;90
203;Fabaceae;Acacia;Acacia rhodoxylon;1,10208;Australia/PNG (tropical);90
204;Fabaceae;Acacia;Acacia richii;0,7;South America (tropical);136
205;Fabaceae;Acacia;Acacia robusta;0,73185;Africa (extratropical);72
206;Fabaceae;Acacia;Acacia salicina;0,581175;Australia/PNG (tropical);90
207;Fabaceae;Acacia;Acacia sclerosperma;0,86;Australia;90
208;Fabaceae;Acacia;Acacia shirleyi;1,02;Australia/PNG (tropical);90
209;Fabaceae;Acacia;Acacia shirleyi;1;Australia;90
210;Fabaceae;Acacia;Acacia shirleyi;0,85561;Australia/PNG (tropical);90
211;Fabaceae;Acacia;Acacia shirleyi;0,90405;Australia;90
212;Fabaceae;Acacia;Acacia sibilans;0,97;Australia;90
213;Fabaceae;Acacia;Acacia spectabilis;0,76629;Australia/PNG (tropical);90
214;Fabaceae;Acacia;Acacia stenophylla;0,7749;Australia;90
215;Fabaceae;Acacia;Acacia stenophylla;0,82656;Australia/PNG (tropical);90
216;Fabaceae;Acacia;Acacia stenophylla;0,69;Australia;90
217;Fabaceae;Acacia;Acacia stipuligera;0,81;Australia;90
218;Fabaceae;Acacia;Acacia subtessarogona;1,096914;Australia;90
219;Fabaceae;Acacia;Acacia suma;1,21;India;26
220;Fabaceae;Acacia;Acacia tenuifolia;0,49;South America (tropical);44
221;Fabaceae;Acacia;Acacia tetragonophylla;0,873915;Australia;90
222;Fabaceae;Acacia;Acacia tetragonophylla;1,002204;Australia;90
223;Fabaceae;Acacia;Acacia tomentosa;0,51;South-East Asia (tropical);129
224;Fabaceae;Acacia;Acacia trinervata;0,75768;Australia/PNG (tropical);90
225;Fabaceae;Acacia;Acacia tucumanensis;0,63;South America (tropical);134
226;Fabaceae;Acacia;Acacia victoriae;0,692244;Australia;90
227;Fabaceae;Acacia;Acacia visco;0,688;South America (extratropical);66
228;Fabaceae;Acacia;Acacia xanthophloea;0,75768;Africa (extratropical);72
229;Fabaceae;Acacia;Acacia xiphophylla;1,137381;Australia;90
230;Euphorbiaceae;Acalypha;Acalypha caturus;0,3;South-East Asia (tropical);16
231;Santalaceae;Acanthosyris;Acanthosyris falcata;0,645;South America (extratropical);66
232;Santalaceae;Acanthosyris;Acanthosyris falcata;0,64586;South America (extratropical);46
233;Santalaceae;Acanthosyris;Acanthosyris glabrata;0,6;South America (tropical);204
234;Myrtaceae;Acca;Acca sellowiana;0,75;South America (extratropical);114
235;Sapindaceae;Acer;Acer buergerianum;0,62;China;197
236;Sapindaceae;Acer;Acer caesium;0,49938;India;135
237;Sapindaceae;Acer;Acer campbellii;0,49938;India;135
238;Sapindaceae;Acer;Acer campestre;0,52521;Europe;28
239;Sapindaceae;Acer;Acer catalpifolium;0,45;South-East Asia;136
240;Sapindaceae;Acer;Acer cultratum;0,55;South-East Asia;136
241;Sapindaceae;Acer;Acer davidii;0,471828;China;33
242;Sapindaceae;Acer;Acer davidii;0,444;China;33
243;Sapindaceae;Acer;Acer decandrum;0,574287;China;33
244;Sapindaceae;Acer;Acer decandrum;0,68019;China;33
245;Sapindaceae;Acer;Acer decandrum;0,62;China;126
246;Sapindaceae;Acer;Acer decandrum;0,608;China;33
247;Sapindaceae;Acer;Acer decandrum;0,75;China;33
248;Sapindaceae;Acer;Acer laurinum;0,43;South-East Asia (tropical);129
249;Sapindaceae;Acer;Acer macrophyllum;0,44;NorthAmerica;6
250;Sapindaceae;Acer;Acer mandshuricum;0,58548;China;33
251;Sapindaceae;Acer;Acer mono;0,610449;China;33
252;Sapindaceae;Acer;Acer mono;0,71463;China;33
253;Sapindaceae;Acer;Acer mono;0,564;China;33
254;Sapindaceae;Acer;Acer mono;0,668;China;33
255;Sapindaceae;Acer;Acer negundo;0,416;NorthAmerica;6
256;Sapindaceae;Acer;Acer nigrum;0,52;NorthAmerica;6
257;Sapindaceae;Acer;Acer niveum;0,53;South-East Asia (tropical);43
258;Sapindaceae;Acer;Acer oblongum;0,6027;India;135
259;Sapindaceae;Acer;Acer pennsylvanicum;0,44;NorthAmerica;6
260;Sapindaceae;Acer;Acer pensylvanicum;0,44;NorthAmerica;118
261;Sapindaceae;Acer;Acer pictum;0,62853;India;135
262;Sapindaceae;Acer;Acer platanoides;0,50799;Europe;158
263;Sapindaceae;Acer;Acer platanoides;0,52521;Europe;28
264;Sapindaceae;Acer;Acer pseudoplatanus;0,50799;Europe;28
265;Sapindaceae;Acer;Acer pseudoplatanus;0,51;Europe;60
266;Sapindaceae;Acer;Acer rubrum;0,49;NorthAmerica;6
267;Sapindaceae;Acer;Acer saccharinum;0,44;NorthAmerica;6
268;Sapindaceae;Acer;Acer saccharum;0,56;NorthAmerica;6
269;Sapindaceae;Acer;Acer sterculiaceum;0,35301;India;135
270;Sapindaceae;Acer;Acer truncatum;0,59;China;197
271;Elaeocarpaceae;Aceratium;Aceratium concinnum;0,61992;Australia/PNG (tropical);90
272;Elaeocarpaceae;Aceratium;Aceratium concinnum;0,61992;Australia/PNG (tropical);90
273;Elaeocarpaceae;Aceratium;Aceratium doggrellii;0,52521;Australia/PNG (tropical);90
274;Elaeocarpaceae;Aceratium;Aceratium megalospermum;0,538125;Australia/PNG (tropical);90
275;Elaeocarpaceae;Aceratium;Aceratium megalospermum;0,538125;Australia/PNG (tropical);90
276;Elaeocarpaceae;Aceratium;Aceratium sericeum;0,42;South-East Asia (tropical);129
277;Chrysobalanaceae;Acioa;Acioa edulis;0,82;South America (tropical);41
278;Chrysobalanaceae;Acioa;Acioa guianensis;0,86;South America (tropical);44
279;Malpighiaceae;Acmanthera;Acmanthera latifolia;0,69;South America (tropical);44
280;Myrtaceae;Acmena;Acmena acuminatissima;0,63;South-East Asia (tropical);126
281;Myrtaceae;Acmena;Acmena graveolens;0,512295;Australia/PNG (tropical);90
282;Myrtaceae;Acmena;Acmena graveolens;0,512295;Australia/PNG (tropical);90
283;Myrtaceae;Acmena;Acmena hemilampra;0,61992;Australia/PNG (tropical);90
284;Myrtaceae;Acmena;Acmena ingens;0,45633;Australia/PNG (tropical);90
285;Myrtaceae;Acmena;Acmena ingens;0,45633;Australia/PNG (tropical);90
286;Myrtaceae;Acmena;Acmena ingens;0,45633;Australia/PNG (tropical);90
287;Myrtaceae;Acmena;Acmena macrocarpa;0,512295;Australia/PNG (tropical);90
288;Myrtaceae;Acmena;Acmena resa;0,675885;Australia/PNG (tropical);90
289;Myrtaceae;Acmena;Acmena smithii;0,611909333;Australia;90
290;Myrtaceae;Acmena;Acmena smithii;0,607005;Australia/PNG (tropical);90
291;Myrtaceae;Acmena;Acmena smithii;0,650055;Australia/PNG (tropical);90
292;Myrtaceae;Acmena;Acmena smithii;0,675885;Australia/PNG (tropical);90
293;Myrtaceae;Acmena;Acmena smithii;0,607005;Australia/PNG (tropical);90
294;Myrtaceae;Acmena;Acmena smithii;0,675885;Australia/PNG (tropical);90
295;Myrtaceae;Acmenosperma;Acmenosperma claviflorum;0,75768;Australia/PNG (tropical);90
296;Apocynaceae;Acokanthera;Acokanthera oppositifolia;0,78351;Africa (extratropical);72
297;Fabaceae;Acosmium;Acosmium dasycarpum;0,7;South America (extratropical);114
298;Fabaceae;Acosmium;Acosmium nitens;0,74;South America (tropical);134
299;Fabaceae;Acosmium;Acosmium nitens;0,82656;South America (tropical);52
300;Fabaceae;Acosmium;Acosmium nitens;0,82;South America (tropical);45
301;Fabaceae;Acosmium;Acosmium panamense;0,81;South America (tropical);204
302;Fabaceae;Acosmium;Acosmium praeclarum;0,68019;South America (tropical);52
303;Rutaceae;Acradenia;Acradenia euodiiformis;0,770595;Australia/PNG (tropical);90
304;Rutaceae;Acradenia;Acradenia euodiiformis;0,770595;Australia/PNG (tropical);90
305;Rutaceae;Acradenia;Acradenia frankliniae;0,627667333;Australia;90
306;Fabaceae;Acrocarpus;Acrocarpus fraxinifolius;0,68;India;26
307;Fabaceae;Acrocarpus;Acrocarpus fraxinifolius;0,5032545;South-East Asia (tropical);14
308;Rutaceae;Acronychia;Acronychia acidula;0,55104;Australia/PNG (tropical);90
309;Rutaceae;Acronychia;Acronychia acronychioides;0,538125;Australia/PNG (tropical);90
310;Rutaceae;Acronychia;Acronychia goniocarpa;0,51;South-East Asia (tropical);129
311;Rutaceae;Acronychia;Acronychia haplophylla;0,718935;Australia/PNG (tropical);90
312;Rutaceae;Acronychia;Acronychia haplophylla;0,718935;Australia/PNG (tropical);90
313;Rutaceae;Acronychia;Acronychia laevis;0,523250667;Australia/PNG (tropical);90
314;Rutaceae;Acronychia;Acronychia laevis;0,55104;Australia/PNG (tropical);90
315;Rutaceae;Acronychia;Acronychia melicopoides;0,538125;Australia/PNG (tropical);90
316;Rutaceae;Acronychia;Acronychia octandra;0,55104;Australia/PNG (tropical);90
317;Rutaceae;Acronychia;Acronychia octandra;0,55104;Australia/PNG (tropical);90
318;Rutaceae;Acronychia;Acronychia oligophlebia;0,37;South-East Asia (tropical);126
319;Rutaceae;Acronychia;Acronychia pedunculata;0,43911;China;33
320;Rutaceae;Acronychia;Acronychia pedunculata;0,52;South-East Asia (tropical);129
321;Rutaceae;Acronychia;Acronychia pedunculata;0,417;China;33
322;Rutaceae;Acronychia;Acronychia porteri;0,52;South-East Asia (tropical);43
323;Rutaceae;Acronychia;Acronychia pullei;0,65;South-East Asia (tropical);129
324;Rutaceae;Acronychia;Acronychia trifoliolata;0,55;South-East Asia (tropical);129
325;Rutaceae;Acronychia;Acronychia vestita;0,497410333;Australia/PNG (tropical);90
326;Rutaceae;Acronychia;Acronychia vestita;0,508144;Australia/PNG (tropical);90
327;Rutaceae;Acronychia;Acronychia vestita;0,607005;Australia/PNG (tropical);90
328;Rutaceae;Acronychia;Acronychia wilcoxiana;0,55104;Australia/PNG (tropical);90
329;Lauraceae;Actinodaphne;Actinodaphne borneensis;0,5;South-East Asia (tropical);177
330;Lauraceae;Actinodaphne;Actinodaphne glabra;0,52;South-East Asia (tropical);129
331;Lauraceae;Actinodaphne;Actinodaphne glomerata;0,41;South-East Asia (tropical);129
332;Lauraceae;Actinodaphne;Actinodaphne maingayi;0,59;South-East Asia (tropical);43
333;Lauraceae;Actinodaphne;Actinodaphne malaccensis;0,55;South-East Asia (tropical);43
334;Lauraceae;Actinodaphne;Actinodaphne procera;0,4;South-East Asia (tropical);129
335;Lauraceae;Actinodaphne;Actinodaphne sesquipedalis;0,65;South-East Asia (tropical);43
336;Lauraceae;Actinodaphne;Actinodaphne sphaerocarpa;0,46;South-East Asia (tropical);43
337;Euphorbiaceae;Actinostemon;Actinostemon lanceolatus;0,907;South America (extratropical);121
338;Malvaceae;Adansonia;Adansonia digitata;0,27552;Africa (tropical);4
339;Euphorbiaceae;Adelia;Adelia oaxacana;0,87;Mexico;23
340;Euphorbiaceae;Adelia;Adelia triloba;0,54336;Central America (tropical);168
341;Fabaceae;Adenanthera;Adenanthera bicolor;0,85;South-East Asia (tropical);43
342;Fabaceae;Adenanthera;Adenanthera intermedia;0,78;South-East Asia (tropical);80
343;Fabaceae;Adenanthera;Adenanthera microsperma;0,64;South-East Asia (tropical);16
344;Fabaceae;Adenanthera;Adenanthera pavonina;0,7;South-East Asia (tropical);111
345;Fabaceae;Adenanthera;Adenanthera pavonina;0,572565;China;33
346;Fabaceae;Adenanthera;Adenanthera pavonina;0,63714;China;33
347;Fabaceae;Adenanthera;Adenanthera pavonina;0,57;South-East Asia (tropical);126
348;Fabaceae;Adenanthera;Adenanthera pavonina;0,88;India;26
349;Fabaceae;Adenanthera;Adenanthera pavonina;0,77;South-East Asia (tropical);43
350;Fabaceae;Adenanthera;Adenanthera pavonina;0,598;China;33
351;Fabaceae;Adenanthera;Adenanthera pavonina;0,68;China;33
352;Fabaceae;Adenanthera;Adenanthera pavonina;0,7749;Australia/PNG (tropical);27
353;Fabaceae;Adenanthera;Adenanthera tamarindifolia;0,73;South-East Asia (tropical);129
354;Rosaceae;Adenostoma;Adenostoma fasciculatum;0,75;NorthAmerica;3
355;Rubiaceae;Adina;Adina cordifolia;0,59;India;109
356;Rubiaceae;Adina;Adina globiflora;0,92;China;31
357;Rubiaceae;Adina;Adina microcephala;0,75;South-East Asia;136
358;Rubiaceae;Adina;Adina pilulifera;0,865305;China;33
359;Rubiaceae;Adina;Adina pilulifera;0,917;China;33
360;Rubiaceae;Adina;Adina polycephala;0,76;South-East Asia (tropical);43
361;Rubiaceae;Adina;Adina polycephala;0,6027;South-East Asia (tropical);13
362;Rubiaceae;Adina;Adina rubescens;0,71;South-East Asia (tropical);43
363;Rubiaceae;Adina;Adina sessilifolia;0,6027;South-East Asia (tropical);13
364;Pentaphylacaeae;Adinandra;Adinandra acuminata;0,48;South-East Asia (tropical);129
365;Pentaphylacaeae;Adinandra;Adinandra acutifolia;0,62853;China;33
366;Pentaphylacaeae;Adinandra;Adinandra acutifolia;0,639;China;33
367;Pentaphylacaeae;Adinandra;Adinandra borneensis;0,48;South-East Asia (tropical);129
